non_translated_id,language_id,exception_description,display_text
69,1,,Not Met
70,1,,Not Met
71,1,,Not Met
72,1,,Met
73,1,,Met
74,1,,Not Met
75,1,,Not Met
76,1,,Met
77,1,,Not Met
78,1,,Not Met
79,1,,Not Met
80,1,,Met
81,1,,Not Met
82,1,,Met
83,1,,Met
84,1,,Not Met
85,1,,Met
86,1,,Not Met
87,1,,Not Met
88,1,,Not Met
89,1,,Met
90,1,,Not Met
91,1,,Met
92,1,,Not Met
93,1,,Not Met
94,1,,Met
95,1,,Met
96,1,,Not Met
101,1,,Met
102,1,,Met
103,1,,Not Met
104,1,,Met
105,1,,Met
106,1,,Not Met
107,1,,Not Met
108,1,,Not Met
109,1,,Not Met
110,1,,Met
111,1,,Not Met
112,1,,Not Met
113,1,,Met
114,1,,Not Met
115,1,,Met
116,1,,Not Met
117,1,,Not Met
118,1,,Not Met
119,1,,Not Met
120,1,,Not Met
121,1,,Not Met
122,1,,Not Met
123,1,,Met
124,1,,Not Met
125,1,,Not Met
126,1,,Not Met
127,1,,Met
128,1,,Not Met
129,1,,Met
130,1,,Not Met
131,1,,Met
132,1,,Not Met
133,1,,Not Met
134,1,,Met
135,1,,Met
136,1,,Not Met
137,1,,Met
138,1,,Met
139,1,,Met
144,1,,Not Met
149,1,,Not Met
150,1,,Not Met
151,1,,Not Met
152,1,,Met
153,1,,Not Met
154,1,,Not Met
155,1,,Not Met
156,1,,Not Met
157,1,,Not Met
158,1,,Not Met
159,1,,Met
160,1,,Not Met
161,1,,Met
162,1,,Met
163,1,,Not Met
164,1,,Not Met
165,1,,Not Met
166,1,,Met
167,1,,Met
168,1,,Not Met
169,1,,Met
170,1,,Not Met
171,1,,Met
172,1,,Met
173,1,,Not Met
174,1,,Met
175,1,,Not Met
176,1,,Met
199,1,,Additional Targeted Support
200,1,,Public Education Grant
263,1,,Met
264,1,,Met
265,1,,Met
266,1,,Met
267,1,,Not Met
268,1,,Not Met
269,1,,Met
270,1,,Not Met
271,1,,Not Met
272,1,,Not Met
273,1,,Not Met
274,1,,Met
275,1,,Not Met
276,1,,Met
277,1,,Met
278,1,,Met
279,1,,Met
280,1,,Not Met
281,1,,Not Met
282,1,,Met
283,1,,Met
284,1,,Not Met
285,1,,Not Met
286,1,,Not Met
287,1,,Met
288,1,,Not Met
289,1,,Met
290,1,,Met
295,1,,Met
296,1,,Met
297,1,,Met
298,1,,Met
299,1,,Not Met
300,1,,Not Met
301,1,,Met
302,1,,Met
303,1,,Not Met
304,1,,Met
305,1,,Not Met
306,1,,Met
307,1,,Not Met
308,1,,Not Met
309,1,,Met
310,1,,Not Met
311,1,,Not Met
312,1,,Met
313,1,,Not Met
314,1,,Not Met
315,1,,Met
316,1,,Not Met
317,1,,Met
318,1,,Met
319,1,,Met
320,1,,Not Met
321,1,,Met
322,1,,Not Met
323,1,,Not Met
324,1,,Met
325,1,,Met
326,1,,Not Met
327,1,,Met
328,1,,Met
329,1,,Met
330,1,,Met
331,1,,Met
332,1,,Not Met
333,1,,Met
343,1,,Not Met
344,1,,Not Met
345,1,,Met
346,1,,Not Met
347,1,,Met
348,1,,Met
349,1,,Not Met
350,1,,Not Met
351,1,,Not Met
352,1,,Met
353,1,,Met
354,1,,Met
355,1,,Met
356,1,,Not Met
357,1,,Not Met
358,1,,Met
359,1,,Not Met
360,1,,Met
361,1,,Not Met
362,1,,Not Met
363,1,,Met
364,1,,Met
365,1,,Met
366,1,,Not Met
367,1,,Met
368,1,,Not Met
369,1,,Not Met
370,1,,Met
468,1,,Met
469,1,,Not Met
470,1,,Met
471,1,,Not Met
472,1,,Met
473,1,,Not Met
474,1,,Not Met
475,1,,Not Met
476,1,,Met
477,1,,Not Met
478,1,,Not Met
479,1,,Met
480,1,,Met
481,1,,Not Met
482,1,,Met
483,1,,Not Met
484,1,,Not Met
485,1,,Met
486,1,,Met
487,1,,Not Met
488,1,,Met
489,1,,Met
490,1,,Met
491,1,,Met
492,1,,Met
493,1,,Not Met
494,1,,Met
495,1,,Not Met
500,1,,Not Met
501,1,,Not Met
502,1,,Not Met
503,1,,Met
504,1,,Met
505,1,,Met
506,1,,Not Met
507,1,,Not Met
508,1,,Not Met
509,1,,Not Met
510,1,,Met
511,1,,Met
512,1,,Not Met
513,1,,Met
514,1,,Not Met
515,1,,Not Met
516,1,,Not Met
517,1,,Met
518,1,,Met
519,1,,Not Met
520,1,,Not Met
521,1,,Met
522,1,,Not Met
523,1,,Met
524,1,,Not Met
525,1,,Met
526,1,,Met
527,1,,Met
528,1,,Met
529,1,,Met
